"Player_name","Team","Level","PA","AVG","wOBA","HRpct","Kpct","BBpct","BABIP","TTO","ID","Diff"
"駒月　仁人","L","Farm",267,0.234,0.303,4.12,31.8,5.2,0.306,41.2,"駒月　仁人 L",267
"熊代　聖人","L","Farm",440,0.23,0.279,1.14,16.6,8.6,0.27,26.3,"熊代　聖人 L",430
"熊谷　敬宥","T","Farm",266,0.197,0.219,0,16.5,8.3,0.24,24.8,"熊谷　敬宥 T",248
"栗原　陵矢","H","Farm",309,0.264,0.337,1.29,14.9,7.8,0.305,23.9,"栗原　陵矢 H",297
"郡　拓也","F","Farm",524,0.208,0.242,0.95,18.5,4,0.249,23.5,"郡　拓也 F",523
"原　泉","S","Farm",370,0.215,0.309,2.97,21.1,8.9,0.249,33,"原　泉 S",370
"古賀　優大","S","Farm",472,0.218,0.241,0.21,8.3,7,0.236,15.5,"古賀　優大 S",457
"古澤　勝吾","H","Farm",134,0.148,0.173,0,23.9,6.7,0.2,30.6,"古澤　勝吾 H",134
"戸川　大輔","L","Farm",638,0.233,0.288,1.41,25.8,8.1,0.307,35.4,"戸川　大輔 L",638
"戸柱　恭孝","DB","Farm",114,0.152,0.172,0,18.4,2.6,0.186,21,"戸柱　恭孝 DB",-308
"呉　念庭","L","Farm",725,0.268,0.322,0.55,13.2,12.8,0.308,26.6,"呉　念庭 L",670
"後藤　駿太","Bs","Farm",205,0.163,0.255,0,25.9,12.2,0.233,38.1,"後藤　駿太 Bs",162
"江越　大賀","T","Farm",622,0.198,0.299,3.38,37.6,9.5,0.299,50.5,"江越　大賀 T",564
"江川　智晃","H","Farm",446,0.291,0.377,2.47,20.8,12.8,0.359,36.1,"江川　智晃 H",370
"溝脇　隼人","D","Farm",342,0.277,0.295,0.29,9,5.3,0.303,14.6,"溝脇　隼人 D",326
"綱島　龍生","L","Farm",110,0.238,0.27,0,30,3.6,0.353,33.6,"綱島　龍生 L",110
"荒波　翔","DB","Farm",300,0.294,0.334,0.67,16.7,11,0.351,28.3,"荒波　翔 DB",222
"荒木　郁也","T","Farm",340,0.226,0.24,0.3,20.3,7.1,0.287,27.6,"荒木　郁也 T",318
"香月　一也","M","Farm",623,0.253,0.318,3.37,14.6,7.2,0.268,25.2,"香月　一也 M",581
"高橋　周平","D","Farm",299,0.248,0.294,1.67,18.7,5.7,0.294,26,"高橋　周平 D",-326
"高木　渉","L","Farm",250,0.278,0.35,2.4,29.6,9.6,0.386,41.6,"高木　渉 L",250
"黒羽根　利規","DB","Farm",101,0.275,0.305,1.98,15.8,5.9,0.315,23.7,"黒羽根　利規 DB",101
"黒羽根　利規","F","Farm",108,0.18,0.265,1.85,22.2,13.9,0.222,38,"黒羽根　利規 F",76
"黒瀬　健太","H","Farm",133,0.153,0.214,0.75,38.3,9,0.253,48.1,"黒瀬　健太 H",133
"今井　順之助","F","Farm",645,0.233,0.296,1.24,26.5,7.8,0.317,35.5,"今井　順之助 F",641
"今成　亮太","T","Farm",549,0.254,0.313,2,18,10.7,0.297,30.8,"今成　亮太 T",549
"根元　俊一","M","Farm",322,0.335,0.409,2.48,16.2,17.1,0.392,35.7,"根元　俊一 M",159
"根本　薫","Bs","Farm",279,0.184,0.194,0.72,28.7,3.9,0.255,33.3,"根本　薫 Bs",279
"佐野　恵太","DB","Farm",341,0.277,0.364,3.81,14,10.8,0.293,28.7,"佐野　恵太 DB",187
"佐野　皓大","Bs","Farm",197,0.183,0.219,0.51,25.9,4.6,0.252,31,"佐野　皓大 Bs",197
"細川　成也","DB","Farm",763,0.214,0.287,2.36,39.8,8.7,0.353,50.8,"細川　成也 DB",735
"細谷　圭","M","Farm",465,0.269,0.348,3.23,14.2,10.8,0.284,28.2,"細谷　圭 M",332
"坂倉　将吾","C","Farm",486,0.309,0.36,1.03,14.6,6.6,0.359,22.2,"坂倉　将吾 C",473
"坂田　遼","L","Farm",400,0.309,0.367,1.25,15.7,14.7,0.366,31.7,"坂田　遼 L",381
"坂本　一将","Bs","Farm",384,0.241,0.256,0.26,15.6,5.7,0.287,21.6,"坂本　一将 Bs",384
"坂本　誠志郎","T","Farm",171,0.288,0.308,0.59,19.9,7,0.355,27.5,"坂本　誠志郎 T",23
"三ツ俣　大樹","D","Farm",458,0.197,0.271,0.43,17.4,11.8,0.244,29.7,"三ツ俣　大樹 D",457
"三家　和真","M","Farm",730,0.267,0.312,0.82,15.9,9.9,0.317,26.5,"三家　和真 M",725
"三森　大貴","H","Farm",236,0.275,0.303,0.42,18.6,4.7,0.339,23.7,"三森　大貴 H",236
"三輪　正義","S","Farm",352,0.294,0.333,0.28,12.2,13.9,0.34,26.4,"三輪　正義 S",322
"山下　幸輝","DB","Farm",497,0.299,0.341,2.42,12.5,5.8,0.323,20.7,"山下　幸輝 DB",411
"山下　斐紹","E","Farm",134,0.323,0.365,2.99,11.2,6,0.34,20.2,"山下　斐紹 E",30
"山崎　憲晴","DB","Farm",117,0.214,0.273,0.85,16.2,10.3,0.256,27.3,"山崎　憲晴 DB",117
"山崎　晃大朗","S","Farm",599,0.279,0.322,0.33,16.3,11.2,0.341,27.9,"山崎　晃大朗 S",306
"山川　晃司","S","Farm",155,0.129,0.154,0.64,32.9,3.2,0.193,36.7,"山川　晃司 S",155
"山川　穂高","L","Farm",166,0.323,0.449,6.02,16.3,19.9,0.34,42.2,"山川　穂高 L",-774
"山足　達也","Bs","Farm",180,0.301,0.364,1.67,12.8,10,0.338,24.5,"山足　達也 Bs",108
"山田　大樹","E","Farm",213,0.173,0.228,1.87,29.1,6.6,0.229,37.5,"山田　大樹 E",213
"山田　遥楓","L","Farm",730,0.254,0.297,1.92,19.6,5.8,0.3,27.2,"山田　遥楓 L",711
"山本　泰寛","G","Farm",388,0.283,0.349,1.55,12.9,12.1,0.317,26.5,"山本　泰寛 G",185
"山本　祐大","DB","Farm",132,0.193,0.213,1.52,22.7,2.3,0.239,26.5,"山本　祐大 DB",131
"山﨑　剛","E","Farm",266,0.261,0.302,0.38,17.7,7.1,0.324,25.2,"山﨑　剛 E",182
"寺内　崇幸","G","Farm",104,0.326,0.349,1.92,14.4,4.8,0.37,21.2,"寺内　崇幸 G",70
"柴田　講平","M","Farm",174,0.277,0.309,1.15,15.5,8.1,0.321,24.7,"柴田　講平 M",140
"縞田　拓弥","Bs","Farm",351,0.204,0.287,0.29,16.3,15.1,0.25,31.7,"縞田　拓弥 Bs",342
"若林　晃弘","G","Farm",284,0.303,0.373,2.46,13.7,9.9,0.335,26,"若林　晃弘 G",265
"狩野　恵輔","T","Farm",175,0.255,0.343,2.86,12,12,0.268,26.9,"狩野　恵輔 T",170
"狩野　行寿","DB","Farm",313,0.167,0.217,0.32,24.3,8,0.227,32.6,"狩野　行寿 DB",313
"周東　佑京","H","Farm",214,0.233,0.255,0,19.2,7,0.294,26.2,"周東　佑京 H",214
"宗　佑磨","Bs","Farm",515,0.272,0.286,0.2,15.7,4.7,0.324,20.6,"宗　佑磨 Bs",200
"宗接　唯人","M","Farm",362,0.202,0.273,2.49,32.3,8.8,0.288,43.6,"宗接　唯人 M",361
"重信　慎之介","G","Farm",130,0.302,0.36,1.54,13.8,7.7,0.34,23,"重信　慎之介 G",-132
"俊介","T","Farm",170,0.322,0.371,1.76,12.3,8.2,0.359,22.3,"俊介 T",-232
"緒方　凌介","T","Farm",551,0.256,0.316,1.63,22.3,10,0.325,33.9,"緒方　凌介 T",551
"小宮山　慎二","T","Farm",168,0.235,0.281,1.19,22.6,7.1,0.303,30.9,"小宮山　慎二 T",168
"小窪　哲也","C","Farm",439,0.286,0.33,1.14,10.9,8,0.313,20,"小窪　哲也 C",346
"小田　裕也","Bs","Farm",214,0.224,0.263,0,23.4,7.9,0.301,31.4,"小田　裕也 Bs",30
"小島　脩平","Bs","Farm",267,0.285,0.336,1.12,14.2,10.9,0.328,26.2,"小島　脩平 Bs",31
"小豆畑　眞也","T","Farm",122,0.238,0.252,0,13.1,5.7,0.274,18.9,"小豆畑　眞也 T",122
"庄司　隼人","C","Farm",671,0.261,0.323,0.75,8,13.1,0.279,21.9,"庄司　隼人 C",650
"松井　佑介","D","Farm",329,0.274,0.311,1.83,17,5.5,0.314,24.3,"松井　佑介 D",178
